customer_id,organization_id,company_name,level,immediate_parent_name,top_parent_name
1723,700832336208,Horizon Property Group Ltd.,2,Crestline Real Estate Pte. Ltd.,Frontier Developments Ltd.
1721,763595448017,Apex Holdings Pte. Ltd.,2,Crestline Real Estate Pte. Ltd.,Frontier Developments Ltd.
1715,886833016361,Blue Ridge Properties Ltd.,1,Frontier Developments Ltd.,Frontier Developments Ltd.
1705,214832269481,Crestline Real Estate Pte. Ltd.,1,Frontier Developments Ltd.,Frontier Developments Ltd.
1719,223005401501,Delta Asset Management Ltd.,2,Kestrel Properties Pte. Ltd.,Frontier Developments Ltd.
1724,251282538206,Indigo Ventures Pte. Ltd.,2,Crestline Real Estate Pte. Ltd.,Frontier Developments Ltd.
1718,748913461122,Jade Estate Holdings Ltd.,2,Kestrel Properties Pte. Ltd.,Frontier Developments Ltd.
1714,714294294451,Kestrel Properties Pte. Ltd.,1,Frontier Developments Ltd.,Frontier Developments Ltd.
1716,198912225902,Emerald Hospitality Group Pte. Ltd.,1,Frontier Developments Ltd.,Frontier Developments Ltd.
1704,354342113419,Frontier Developments Ltd.,0,,Frontier Developments Ltd.
1744,914655221101,Luminary Real Estate Ltd.,1,Frontier Developments Ltd.,Frontier Developments Ltd.
1720,136171878809,Meridian Asset Group Pte. Ltd.,2,Crestline Real Estate Pte. Ltd.,Frontier Developments Ltd.
1722,911856239313,Nexus Hospitality Holdings Ltd.,2,Crestline Real Estate Pte. Ltd.,Frontier Developments Ltd.
1717,367469214295,Granite Capital Partners Pte. Ltd.,1,Frontier Developments Ltd.,Frontier Developments Ltd.
